surface_tension,molecular_formula,density_liquid,enthalpy_fusion,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,VDW_area,VDW_volume,radius_gyration,dipole_moment,C,Br,Cl,O,F,H,N,I,Si,S,molecular_weight
25.25,C3H7Br,1.345,6.527,29.285,30.286,0.0012918,6900000000.0,48.53,2.629,"2.18 ",3.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,122.991307
22.86,C3H7Br,1.3054,6.53,28.268,28.837,0.0013234,6890000000.0,48.52,2.615,"2.21 ",3.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,122.991307
25.91,C4H9Br,1.269,9.23,32.109,34.552,0.001234,8250000000.0,58.76,3.132,"2.08 ",4.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,137.01792899999998
24.67,C4H9Br,1.253,6.88,31.169,32.371,0.0012368,8250000000.0,58.9,3.123,"2.23 ",4.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,137.01792899999998
35.91,C6H5Br,1.487,10.702,37.33,37.754,0.00086113,7340000000.0,60.16,3.466,"1.7 ",6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,157.007645
28.22,C7H15Br,1.135,21.76,39.633,40.967,0.0010507,12300000000.0,89.45,4.485,"2.159 ",7.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,179.097795
18.95,CCl2O,1.363,5.738,23.43,24.777,0.0017553,5200000000.0,34.9,2.877,"1.17 ",1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.915945
18.34,CCl3F,1.477,7.9,24.917,25.156,0.0016193,6610000000.0,46.05,3.289,"0.45 ",1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,137.367843163
26.29,CCl4,1.583,2.56,29.837,29.84,0.0011552,7280000000.0,52.3,3.482,"0.0 ",1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.82234
7.87,CHClF2,1.193,4.123,19.031,20.193,0.0033277,4690000000.0,31.02,2.689,"1.4580000000000002 ",1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,86.468387326
26.68,CHCl3,1.48,8.8,28.389,29.785,0.0013026,7660000000.0,43.5,3.249,"1.01 ",1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,119.377381
17.78,CHN,0.68,8.406,25.114,26.896,0.0022569,3025000000.0,18.13,0.654,"2.98 ",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,27.025384000000003
27.84,CH2Cl2,1.318,6.16,26.409,28.381,0.001341,4990000000.0,34.71,2.322,"1.601 ",1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,84.932422
6.99,CH2F2,0.8915,4.4,18.052,20.209,0.0040117,3550000000.0,21.67,1.95,"1.979 ",1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,52.023428325999994
66.98,CH2I2,3.32,12.1,39.724,40.743,0.00079296,6430000000.0,50.93,2.438,"1.22 ",1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,267.83556200000004
15.7,CH2O,0.736,7.05,20.177,23.16,0.002147,3090000000.0,18.6,1.215,"2.33 ",1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,30.026027
37.67,CH2O2,1.2111,12.68,32.1,21.99,0.0014794,3634000000.0,22.74,1.847,"1.415 ",1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,46.025431999999995
15.19,CH3Cl,0.913,6.431,20.354,21.549,0.0022985,3920000000.0,25.29,1.265,"1.871 ",1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,50.487463
2.06,CH3F,0.5283,1.426,15.686,17.67,0.0083319,3220000000.0,19.39,1.41,"1.851 ",1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,34.032966163
29.75,CH3I,2.28,9.1,26.659,27.32,0.0013459,4600000000.0,32.85,1.035,"1.619 ",1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,141.939033
57.02,CH3NO,1.129,8.667,43.458,48.25,0.0012137,4110000000.0,25.46,1.894,"3.73 ",1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,45.040670999999996
36.27,CH3NO2,1.129,9.703,32.119,35.04,0.0011482,4690000000.0,30.47,2.354,"3.46 ",1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,61.040076
18.01,CH4Cl2Si,1.103,9.87,26.502,26.435,0.0015754,7080000000.0,52.8,3.256,"1.91 ",1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,115.03380399999999
22.09,CH4O,0.787,3.215,28.716,35.139,0.0014175,3580000000.0,21.71,1.5519999999999998,"1.7 ",1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,32.041909
23.84,CH4S,0.862,5.904,23.283,24.574,0.0015878,4390000000.0,28.48,1.606,"1.52 ",1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,48.107304
19.89,CH5N,0.655,6.134,22.157,26.111,0.0018713,3860000000.0,24.21,1.722,"1.31 ",1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,31.057147999999998
8.11,COS,1.005,4.728,18.186,18.612,0.0028886,4053000000.0,25.9,1.27,"0.711 ",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.074945
31.56,CS2,1.256,4.388999999999999,26.984,26.616,0.0010923,4754000000.0,31.2,1.569,"0.0 ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.14034
