surface_tension,molecular_formula,density_liquid,enthalpy_fusion,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,VDW_area,VDW_volume,C,Br,Cl,O,F,H,N,I,Si,S,molecular_weight
66.98,CH2I2,3.32,12.1,39.724,40.743,0.00079296,6430000000.0,50.93,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,267.83556200000004
28.42,C19H38,0.782,33.5,53.17,57.535,0.00073609,26660000000.0,197.76,19.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,266.505818
19.9,C19H38,0.816,38.901,53.66,55.982,0.00069552,25630000000.0,193.15,19.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,266.505818
18.48,C19H38,0.8032,51.045,53.87,55.103,0.00071593,25070000000.0,193.22,19.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,266.505818
23.03,C14H30S2,0.9403,32.221,53.764,58.576,0.00070215,23040000000.0,172.8,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,262.51819
20.17,C19H32,0.851,43.932,55.035,57.415,0.00067616,23620000000.0,182.27,19.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,260.458172
18.0,C2Br2F4,2.149,7.037000000000001,27.059,26.774,0.0015621,8560000000.0,58.34,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,259.822092652
24.05,C16H34S,0.843,49.486,54.353,60.856,0.00076248,24440000000.0,185.37,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,258.50663399999996
20.28,C16H34S,0.843,41.326,52.392,64.039,0.00076248,24440000000.0,181.36,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,258.50663399999996
20.31,C16H34S,0.844,41.326,52.392,60.682,0.00076234,24440000000.0,181.36,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,258.50663399999996
20.28,C16H34S,0.843,41.326,52.392,64.039,0.00076248,24440000000.0,181.36,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,258.50663399999996
20.28,C16H34S,0.843,41.326,52.392,64.039,0.00076248,24440000000.0,181.36,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,258.50663399999996
30.25,C16H34S,0.844,41.326,52.392,64.039,0.00076234,24440000000.0,181.36,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,258.50663399999996
21.55,C19H26,0.934,35.637,57.882,58.36600000000001,0.00063358,20600000000.0,166.15,19.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,254.410526
44.86,CHBr3,2.81,11.1,36.654,37.545,0.0009013,6810000000.0,49.98,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,252.72918099999995
28.08,C18H36,0.785,32.6,51.795,55.597,0.00075318,25310000000.0,187.53,18.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,252.479196
20.46,C18H36,0.814,36.311,52.284,54.308,0.0007112,24280000000.0,182.92,18.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,252.479196
19.51,C18H36,0.8068,45.83600000000001,52.694,53.555,0.00073131,23720000000.0,182.99,18.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,252.479196
21.29,C18H30,0.849,40.166,53.945,56.796,0.00069034,22180000000.0,171.24,18.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,246.43155
24.56,C15H32S,0.843,46.378,52.945,59.266,0.00077714,23090000000.0,175.14,15.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,244.480012
20.71,C15H32S,0.843,38.736,50.988,62.104,0.00077714,23090000000.0,171.13,15.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,244.480012
20.71,C15H32S,0.843,38.736,50.988,62.104,0.00077714,23090000000.0,171.13,15.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,244.480012
20.71,C15H32S,0.843,38.736,50.988,62.104,0.00077714,23090000000.0,171.13,15.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,244.480012
20.71,C15H32S,0.843,38.736,50.988,62.104,0.00077714,23090000000.0,171.13,15.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,244.480012
27.33,C16H34O,0.803,47.6,49.929,56.722,0.00085285,23740000000.0,174.26,16.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,242.441239
27.52,C17H36,0.773,40.16,51.452,52.483,0.00075256,24490000000.0,180.79,17.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,240.468456
21.01,C17H34,0.812,33.721,50.857,52.593,0.00072846,22930000000.0,172.69,17.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,238.452574
20.31,C17H34,0.8092,42.677,51.325,52.049,0.0007484,22370000000.0,172.76,17.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,238.452574
22.07,C17H32,0.796,31.4,51.135,54.58,0.00074903,23960000000.0,177.3,17.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,236.436692
41.17,C6H4Br2,1.947,14.225,43.285,43.887,0.00074258,8600000000.0,70.92,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,235.90320400000002
23.34,C12H26S2,0.919,28.077,50.929,54.81,0.00072987,20340000000.0,152.34,12.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,234.464946
23.29,C17H28,0.851,36.0,52.178,56.056,0.00070538,20920000000.0,161.74,17.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,232.404928
25.02,C14H30S,0.842,43.27,51.482,55.229,0.00079334,21740000000.0,164.91,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,230.45339
21.11,C14H30S,0.843,36.146,49.53,59.802,0.00079319,21740000000.0,160.9,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,230.45339
21.11,C14H30S,0.843,36.146,49.53,59.802,0.00079319,21740000000.0,160.9,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,230.45339
21.11,C14H30S,0.843,36.146,49.53,59.802,0.00079319,21740000000.0,160.9,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,230.45339
21.11,C14H30S,0.843,36.146,49.53,59.802,0.00079319,21740000000.0,160.9,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,230.45339
29.91,C14H30S,0.843,36.146,49.53,59.549,0.00079319,21740000000.0,160.9,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,230.45339
32.69,C5H10Br2,1.7099,8.339,40.491,41.572,0.00086936,8830000000.0,79.95,5.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,229.94010999999998
280.08,C3H5N3O9,1.586,26.6,57.996,65.581,0.00080342,12720000000.0,88.74,3.0,0.0,0.0,9.0,0.0,5.0,3.0,0.0,0.0,0.0,227.08667899999998
27.09,C16H34,0.77,53.359,49.373,51.31,0.00076449,23140000000.0,170.56,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,226.441834
21.55,C16H32,0.81,31.131,49.373,50.877,0.00074756,21580000000.0,162.46,16.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,224.425952
29.33,C16H32,0.812,38.597,49.958,50.37300000000001,0.0007673,21020000000.0,162.53,16.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,224.425952
27.32,C16H32,0.777,30.192,48.711,52.028,0.00079543,22610000000.0,167.07,16.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,224.425952
22.6,C16H30,0.793,40.17,49.641,52.802,0.00076969,22490000000.0,166.68,16.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,222.41007
33.42,C10H22O5,1.006,25.4,48.881,57.85,0.00078321,18040000000.0,127.68,10.0,0.0,0.0,5.0,0.0,22.0,0.0,0.0,0.0,0.0,222.279127
36.99,C12H14O4,1.113,17.984,48.649,57.425,0.00072039,15760000000.0,119.92,12.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,222.23767400000003
30.52,C16H26,0.852,32.635,51.035,53.535,0.00072214,19500000000.0,150.8,16.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,218.378306
21.05,C16H26,0.8933,29.681,48.999,52.229,0.00071385,23350000000.0,167.9,16.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,218.378306
26.57,C12H26O3,0.881,30.6,46.961,51.27,0.00087964,19540000000.0,140.74,12.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,218.333561
25.48,C13H28S,0.842,40.162,49.96,53.555,0.00081101,20390000000.0,154.68,13.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,216.426768
21.46,C13H28S,0.842,33.556,48.012,57.438,0.00081101,20390000000.0,150.67,13.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,216.426768
21.46,C13H28S,0.842,33.556,48.012,57.438,0.00081101,20390000000.0,150.67,13.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,216.426768
21.46,C13H28S,0.842,33.556,48.012,57.438,0.00081101,20390000000.0,150.67,13.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,216.426768
31.08,C4H8Br2,1.7836,9.64,37.779,39.651,0.00089326,9550000000.0,69.71,4.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,215.91348799999997
22.97,C13H26O2,0.851,26.0,46.81,50.524,0.00090555,19940000000.0,144.84,13.0,0.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,214.344896
29.58,C13H26O2,0.869,33.795,47.544,51.917,0.0008556,19940000000.0,144.84,13.0,0.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,214.344896
26.68,C15H32,0.765,34.6,48.01,49.571,0.00078446,21790000000.0,160.33,15.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,212.415212
34.39,C16H20,0.947,27.867,53.184,56.55,0.0006694,16630000000.0,136.27,16.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,212.33066
28.93,C15H30,0.807,33.125,49.198,48.995,0.00076905,20230000000.0,152.23,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,210.39933
22.05,C15H30,0.813,34.309,48.497,48.618,0.00078869,19670000000.0,152.3,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,210.39933
26.88,C15H30,0.773,29.57,48.16,49.335,0.00082036,21260000000.0,156.84,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,210.39933
23.07,C15H28,0.789,37.58,48.084,50.869,0.00079299,21140000000.0,156.45,15.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,208.38344800000002
29.61,C10H22S2,0.918,23.933000000000003,47.859,51.045,0.00076013,17640000000.0,131.88,10.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,206.411702
30.35,C15H24,0.852,28.87,49.178,51.572,0.00074092,18220000000.0,141.35,15.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,204.351684
39.01,C6H5I,1.826,9.749,40.443,40.503,0.00077321,7720000000.0,64.68,6.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,204.00861500000002
23.44,C2Cl4F2,1.6451,3.697,31.357,31.828,0.0011974,8910000000.0,67.62,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,203.829886326
21.81,C12H26S,0.842,30.966,46.428,54.833,0.00083061,19040000000.0,140.44,12.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,202.400146
21.81,C12H26S,0.842,30.966,46.428,54.833,0.00083061,19040000000.0,140.44,12.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,202.400146
21.81,C12H26S,0.842,30.966,46.428,54.833,0.00083061,19040000000.0,140.44,12.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,202.400146
21.81,C12H26S,0.842,30.966,46.428,54.833,0.00083061,19040000000.0,140.44,12.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,202.400146
28.41,C12H26S,0.842,30.966,44.443,58.244,0.00083061,19040000000.0,140.44,12.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,202.400146
30.58,C2HCl5,1.675,11.34,37.912,37.093,0.00086987,9670000000.0,71.31,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,202.29392099999998
34.5,C3H6Br2,1.925,10.573,35.893,41.012,0.00091538,8200000000.0,60.1,3.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,201.886866
7.97,C4F8,1.495,2.768,22.202,23.217,0.0028086,9200000000.0,61.32,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,200.03018530399999
26.15,C14H30,0.758,45.07,46.36,47.788,0.00083511,20440000000.0,150.1,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,198.38859
27.12,C13H26O,0.827,46.1,49.29,51.88399999999999,0.00081207,19340000000.0,141.34,13.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,198.345491
26.1,C15H18,0.953,25.277,52.009,56.287,0.00068366,15280000000.0,124.04,15.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,198.304038
25.84,C15H18,0.9623,25.277,51.618,56.012,0.00068057,15280000000.0,124.04,15.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,198.304038
29.95,CBrCl3,1.994,2.03,32.359,32.156,0.00097401,7550000000.0,54.65,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.27294
37.64,C14H14O,1.042,20.209,51.051,53.70399999999999,0.00069316,13960000000.0,115.84,14.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,198.260939
19.32,C2HBrClF3,1.8583,4.84,27.37,28.593000000000004,0.00148,7900000000.0,54.13,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,197.38103048899998
22.5,C14H28,0.804,33.129,46.209,47.237,0.00079323,18880000000.0,142.0,14.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,196.37270800000002
22.66,C14H28,0.815,30.125,46.845,46.819,0.00081261,18320000000.0,142.07,14.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,196.37270800000002
26.35,C14H28,0.768,25.47,46.476,48.121,0.00084876,19910000000.0,146.61,14.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,196.37270800000002
36.93,C7H5Cl3,1.369,13.95,44.477,41.06,0.00078031,10790000000.0,85.89,7.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,195.473585
49.42,C8H18O5,1.122,36.6,54.135,78.318,0.00067921,15520000000.0,109.02,8.0,0.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,194.225883
30.11,C14H22,0.853,29.957,47.427,48.924,0.00076185,16900000000.0,131.12,14.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,190.325062
24.83,C14H22,0.883,24.89,47.428,48.844,0.00075761,19880000000.0,144.0,14.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,190.325062
24.65,C14H22,0.878,24.89,47.428,48.798,0.00075831,19880000000.0,144.0,14.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,190.325062
24.54,C14H22,0.875,24.89,47.428,48.752,0.00075873,19880000000.0,144.0,14.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,190.325062
26.26,C11H24S,0.841,39.9,46.706,49.388,0.00085268,17900000000.0,130.78,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,188.373524
22.08,C11H24S,0.841,28.376,44.769,52.136,0.00085268,17690000000.0,130.21,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,188.373524
22.08,C11H24S,0.841,28.376,44.769,52.136,0.00085268,17690000000.0,130.21,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,188.373524
22.08,C11H24S,0.841,28.376,44.769,52.136,0.00085268,17690000000.0,130.21,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,188.373524
22.08,C11H24S,0.841,28.376,44.769,52.136,0.00085268,17690000000.0,130.21,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,188.373524
3.66,C3F8,1.2732,0.48,19.191,19.701,0.0042972,9200000000.0,57.99,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,188.019445304
33.68,C2H4Br2,2.045,10.63,32.788,34.969,0.00094422,6870000000.0,49.65,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,187.860244
38.16,C2H4Br2,2.169,10.94,34.944,35.79,0.00089629,6860000000.0,49.26,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,187.860244
17.16,C2Cl3F3,1.564,2.326,27.151,27.215,0.0015078,9580000000.0,61.38,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,187.37538948899999
29.75,C12H26O,0.83,40.2,47.447,47.786,0.00084372,18430000000.0,134.24,12.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,186.334751
25.35,C12H26O,0.79,30.5,44.298,48.12,0.00095766,18340000000.0,133.34,12.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,186.334751
21.6,C6F6,1.606,11.59,30.324,31.689,0.001388,7860000000.0,63.24,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,186.054858978
24.4,C12H27N,0.775,29.857,42.206,46.613,0.00086077,18740000000.0,137.41,12.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,185.34999
25.55,C13H28,0.754,28.5,44.967,45.793,0.00083387,19090000000.0,139.85,13.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,184.36196800000002
22.63,C12H24O,0.835,42.21,45.212,50.347,0.00083173,17990000000.0,131.11,12.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,184.318869
35.24,C14H16,0.973,25.1,49.958,52.561,0.00069801,13930000000.0,115.81,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,184.27741600000002
26.73,C14H16,0.962,22.687,49.958,53.597,0.00069922,13930000000.0,115.81,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,184.27741600000002
25.47,C11H20O2,0.88,23.812,43.087,45.61,0.00092396,16700000000.0,120.88,11.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,184.27577000000002
20.58,C4H9I,1.536,3.108,32.034,30.384,0.0011361,8290000000.0,63.53,4.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,184.018899
22.91,C13H26,0.801,23.361,44.514,45.396,0.00082075,17530000000.0,131.77,13.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,182.346086
22.84,C13H26,0.807,25.941,45.101,44.894,0.00084154,16970000000.0,131.84,13.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,182.346086
25.79,C13H26,0.762,22.83,44.617,46.095,0.00088146,18560000000.0,136.38,13.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,182.346086
31.23,C14H14,0.996,17.573,48.302,50.403,0.00073006,13110000000.0,110.5,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,182.261534
40.58,C6H3Cl3,1.449,15.565,42.851,44.108,0.00080299,12330000000.0,100.98,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,181.44696299999998
27.56,C13H24,0.781,32.4,44.747,46.673,0.00084936,18440000000.0,135.99,13.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,180.330204
37.04,C14H12,1.011,27.608,50.078,48.002,0.00070971,12760000000.0,108.62,14.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,180.245652
28.22,C7H15Br,1.135,21.76,39.633,40.967,0.0010507,12300000000.0,89.45,7.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,179.097795
31.88,C8H18O4,0.98,23.71,43.087,50.901,0.00089314,14740000000.0,103.52,8.0,0.0,0.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,178.226478
29.84,C13H20,0.853,21.801,45.996,47.75,0.00078573,15550000000.0,120.89,13.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,176.29844
